x	y
-2.0123772528025796	260.65625
-2.011888704957101	-1135.90625
-2.011400157111623	-1650.4375
-2.0109116092661443	-2071.46875
-2.010423061420666	-2440.8125
-2.0099345135751876	-907.625
-2.0094459657297095	361.21875
-2.008957417884231	966.25
-2.0084688700387523	367
-2.007980322193274	-300.5
-2.0074917743477956	-585.125
-2.0070032265023174	474.53125
-2.006514678656839	-373.4375
-2.0060261308113607	123.90625
-2.005537582965882	2249.34375
-2.005049035120404	1157.625
-2.0045604872749254	868.28125
-2.0040719394294473	-415.8125
-2.0035833915839687	-2786.4375
-2.00309484373849	-1402.875
-2.002606295893012	-1779.59375
-2.0021177480475334	-2437.6875
-2.0016292002020553	-2538.15625
-2.0011406523565767	-312.75
-2.0006521045110985	1331.875
-2.00016355666562	421.21875
-1.9996750088201416	-986.15625
-1.9991864609746632	-846.8125
-1.9986979131291849	-1527.1875
-1.9982093652837065	-972.625
-1.9977208174382282	-2653.03125
-1.9972322695927498	-3276.09375
-1.9967437217472714	-1874.46875
-1.9962551739017929	-1496.21875
-1.9957666260563145	-837.375
-1.9952780782108361	-543.4375
-1.9947895303653578	391.3125
-1.9943009825198794	-274
-1.993812434674401	-261.375
-1.9933238868289227	-512.40625
-1.9928353389834443	-198.25
-1.992346791137966	-130.4375
-1.9918582432924876	303.84375
-1.991369695447009	-1064.875
-1.9908811476015307	976.15625
-1.9903925997560523	1163.21875
-1.989904051910574	116.90625
-1.9894155040650956	-257.0625
-1.9889269562196172	373.40625
-1.9884384083741389	-1415.5
-1.9879498605286605	-1978.03125
-1.9874613126831822	-891.125
-1.9869727648377038	549.875
-1.9864842169922252	834.125
-1.9859956691467469	1634.03125
-1.9855071213012685	-100.1875
-1.9850185734557901	-731.3125
-1.9845300256103118	-3027.96875
-1.9840414777648334	-632.71875
-1.983552929919355	-1552.875
-1.9830643820738767	-1691.09375
-1.9825758342283983	-34.03125
-1.98208728638292	285.84375
-1.9815987385374414	1651.40625
-1.981110190691963	-118.8125
-1.9806216428464847	-1503.0625
-1.9801330950010063	-258.625
-1.979644547155528	-1355.34375
-1.9791559993100496	-244.71875
-1.9786674514645712	-339.4375
-1.9781789036190929	-604.3125
-1.9776903557736145	732.21875
-1.9772018079281362	1113.09375
-1.9767132600826576	43.5
-1.9762247122371792	-350.4375
-1.9757361643917009	224.5
-1.9752476165462225	84.8125
-1.9747590687007441	1296.5625
-1.9742705208552658	1934.03125
-1.9737819730097874	-155.625
-1.973293425164309	-1857.5
-1.9728048773188307	-2302.96875
-1.9723163294733523	-2929.0625
-1.9718277816278738	-2938.40625
-1.9713392337823954	-952.53125
